dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
Membrane_dataset,XGB,0.1,11,3.0,13.666666666666666,13.0,1.699673171197595,3.0,13.666666666666666,20.0,8.9566858950296,0.0,-7.0
Membrane_dataset,XGB,0.1,13,1.0,13.0,13.0,0.0,1.0,1.0,1.0,0.0,12.0,12.0
Membrane_dataset,XGB,0.1,15,1.0,8.0,8.0,0.0,1.0,19.0,19.0,0.0,-11.0,-11.0
Membrane_dataset,XGB,0.1,16,1.0,14.0,14.0,0.0,1.0,18.0,18.0,0.0,-4.0,-4.0
Membrane_dataset,XGB,0.1,17,1.0,13.0,13.0,0.0,1.0,17.0,17.0,0.0,-4.0,-4.0
Membrane_dataset,XGB,0.5,5,1.0,11.0,11.0,0.0,1.0,6.0,6.0,0.0,5.0,5.0
Membrane_dataset,XGB,0.5,6,2.0,19.5,19.5,6.5,2.0,11.5,11.5,9.5,8.0,8.0
Membrane_dataset,XGB,0.5,7,1.0,16.0,16.0,0.0,1.0,22.0,22.0,0.0,-6.0,-6.0
Membrane_dataset,XGB,0.5,9,1.0,12.0,12.0,0.0,1.0,14.0,14.0,0.0,-2.0,-2.0
Membrane_dataset,XGB,0.5,10,2.0,12.0,12.0,4.0,2.0,10.0,10.0,4.0,2.0,2.0
Membrane_dataset,XGB,0.5,11,3.0,11.666666666666666,12.0,3.6817870057290873,3.0,6.333333333333333,9.0,3.7712361663282534,5.333333333333333,3.0
Membrane_dataset,XGB,0.5,13,1.0,13.0,13.0,0.0,1.0,1.0,1.0,0.0,12.0,12.0
Membrane_dataset,XGB,0.5,15,1.0,8.0,8.0,0.0,1.0,19.0,19.0,0.0,-11.0,-11.0
Membrane_dataset,XGB,0.5,16,1.0,15.0,15.0,0.0,1.0,19.0,19.0,0.0,-4.0,-4.0
Membrane_dataset,XGB,0.5,17,1.0,13.0,13.0,0.0,1.0,17.0,17.0,0.0,-4.0,-4.0
Membrane_dataset,XGB,1.0,5,1.0,16.0,16.0,0.0,1.0,15.0,15.0,0.0,1.0,1.0
Membrane_dataset,XGB,1.0,6,2.0,21.0,21.0,7.0,2.0,12.0,12.0,10.0,9.0,9.0
Membrane_dataset,XGB,1.0,7,1.0,18.0,18.0,0.0,1.0,22.0,22.0,0.0,-4.0,-4.0
Membrane_dataset,XGB,1.0,9,1.0,15.0,15.0,0.0,1.0,8.0,8.0,0.0,7.0,7.0
Membrane_dataset,XGB,1.0,10,2.0,17.0,17.0,0.0,2.0,11.0,11.0,5.0,6.0,6.0
Membrane_dataset,XGB,1.0,11,3.0,11.666666666666666,12.0,3.6817870057290873,3.0,10.333333333333334,15.0,6.599663291074444,1.3333333333333321,-3.0
Membrane_dataset,XGB,1.0,13,1.0,14.0,14.0,0.0,1.0,1.0,1.0,0.0,13.0,13.0
Membrane_dataset,XGB,1.0,15,1.0,7.0,7.0,0.0,1.0,24.0,24.0,0.0,-17.0,-17.0
Membrane_dataset,XGB,1.0,16,1.0,7.0,7.0,0.0,1.0,19.0,19.0,0.0,-12.0,-12.0
Membrane_dataset,XGB,1.0,17,1.0,13.0,13.0,0.0,1.0,15.0,15.0,0.0,-2.0,-2.0
P3HT_dataset,BNN,0.1,27,1.0,60.0,60.0,0.0,1.0,46.0,46.0,0.0,14.0,14.0
P3HT_dataset,BNN,0.1,30,1.0,26.0,26.0,0.0,1.0,88.0,88.0,0.0,-62.0,-62.0
P3HT_dataset,BNN,0.1,45,2.0,44.5,44.5,22.5,2.0,66.5,66.5,27.5,-22.0,-22.0
P3HT_dataset,BNN,0.1,47,1.0,58.0,58.0,0.0,1.0,60.0,60.0,0.0,-2.0,-2.0
P3HT_dataset,BNN,0.1,49,1.0,21.0,21.0,0.0,1.0,83.0,83.0,0.0,-62.0,-62.0
